workspace,sectionId,packId,scenario,register,primaryStructure,level,estimatedMinutes,variationSlots,drillType,cognitiveLoad,goal,whyThisWorks,page,position
de,context,friends_cafe_meetup_a1,friends_small_talk,casual,modal_verbs_suggestions,A1,15,subject; verb; object; modifier; time; location; polarity,substitution,high,"Practice casual friends conversations: making plans, suggestions, and small talk at A1 level","Practice casual friends conversations: making plans, suggestions, and small talk at A1 level Uses casual planning and suggestion phrases",1,1
de,context,doctor_pack_1_a1,doctor,neutral,modal_verbs_requests,A1,15,subject; verb; object; modifier; time,substitution,high,Practice doctor appointments and health conversations at A1 level,Practice doctor appointments and health conversations at A1 level Uses appointment scheduling phrases,1,2
de,context,doctor_pack_2_a1,doctor,neutral,modal_verbs_requests,A1,15,subject; verb; object; modifier; time,substitution,high,Practice doctor appointments and health conversations at A1 level,Practice doctor appointments and health conversations at A1 level Uses appointment scheduling phrases,1,3
de,context,doctor_pack_3_a1,doctor,neutral,modal_verbs_requests,A1,15,subject; verb; object; modifier; time,substitution,high,Practice doctor appointments and health conversations at A1 level,Practice doctor appointments and health conversations at A1 level Uses appointment scheduling phrases,1,4
de,context,doctor_pack_4_a1,doctor,neutral,modal_verbs_requests,A1,15,subject; verb; object; modifier; time,substitution,high,Practice doctor appointments and health conversations at A1 level,Practice doctor appointments and health conversations at A1 level Uses appointment scheduling phrases,1,5
de,context,doctor_pack_5_a1,doctor,neutral,modal_verbs_requests,A1,15,subject; verb; object; modifier; time,substitution,high,Practice doctor appointments and health conversations at A1 level,Practice doctor appointments and health conversations at A1 level Uses appointment scheduling phrases,1,6
de,context,doctor_pack_6_a1,doctor,neutral,modal_verbs_requests,A1,15,subject; verb; object; modifier; time,substitution,high,Practice doctor appointments and health conversations at A1 level,Practice doctor appointments and health conversations at A1 level Uses appointment scheduling phrases,1,7
de,context,doctor_pack_7_a1,doctor,neutral,modal_verbs_requests,A1,15,subject; verb; object; modifier; time,substitution,high,Practice doctor appointments and health conversations at A1 level,Practice doctor appointments and health conversations at A1 level Uses appointment scheduling phrases,1,8
de,context,doctor_pack_8_a1,doctor,neutral,modal_verbs_requests,A1,15,subject; verb; object; modifier; time,substitution,high,Practice doctor appointments and health conversations at A1 level,Practice doctor appointments and health conversations at A1 level Uses appointment scheduling phrases,1,9
de,context,friends_small_talk_pack_1_a1,friends_small_talk,casual,modal_verbs_suggestions,A1,15,subject; verb; object; modifier; time; location; polarity,substitution,high,"Practice casual friends conversations: making plans, suggestions, and small talk at A1 level","Practice casual friends conversations: making plans, suggestions, and small talk at A1 level Uses casual planning and suggestion phrases",1,10
de,context,friends_small_talk_pack_10_a1,friends_small_talk,casual,modal_verbs_suggestions,A1,15,subject; verb; object; modifier; time; location; polarity,substitution,high,"Practice casual friends conversations: making plans, suggestions, and small talk at A1 level","Practice casual friends conversations: making plans, suggestions, and small talk at A1 level Uses casual planning and suggestion phrases",1,11
de,context,friends_small_talk_pack_2_a1,friends_small_talk,casual,modal_verbs_suggestions,A1,15,subject; verb; object; modifier; time; location; polarity,substitution,high,"Practice casual friends conversations: making plans, suggestions, and small talk at A1 level","Practice casual friends conversations: making plans, suggestions, and small talk at A1 level Uses casual planning and suggestion phrases",1,12
de,context,friends_small_talk_pack_3_a1,friends_small_talk,casual,modal_verbs_suggestions,A1,15,subject; verb; object; modifier; time; location; polarity,substitution,high,"Practice casual friends conversations: making plans, suggestions, and small talk at A1 level","Practice casual friends conversations: making plans, suggestions, and small talk at A1 level Uses casual planning and suggestion phrases",1,13
de,context,friends_small_talk_pack_4_a1,friends_small_talk,casual,modal_verbs_suggestions,A1,15,subject; verb; object; modifier; time; location; polarity,substitution,high,"Practice casual friends conversations: making plans, suggestions, and small talk at A1 level","Practice casual friends conversations: making plans, suggestions, and small talk at A1 level Uses casual planning and suggestion phrases",1,14
de,context,friends_small_talk_pack_5_a1,friends_small_talk,casual,modal_verbs_suggestions,A1,15,subject; verb; object; modifier; time; location; polarity,substitution,high,"Practice casual friends conversations: making plans, suggestions, and small talk at A1 level","Practice casual friends conversations: making plans, suggestions, and small talk at A1 level Uses casual planning and suggestion phrases",1,15
de,context,friends_small_talk_pack_6_a1,friends_small_talk,casual,modal_verbs_suggestions,A1,15,subject; verb; object; modifier; time; location; polarity,substitution,high,"Practice casual friends conversations: making plans, suggestions, and small talk at A1 level","Practice casual friends conversations: making plans, suggestions, and small talk at A1 level Uses casual planning and suggestion phrases",1,16
de,context,friends_small_talk_pack_7_a1,friends_small_talk,casual,modal_verbs_suggestions,A1,15,subject; verb; object; modifier; time; location; polarity,substitution,high,"Practice casual friends conversations: making plans, suggestions, and small talk at A1 level","Practice casual friends conversations: making plans, suggestions, and small talk at A1 level Uses casual planning and suggestion phrases",1,17
de,context,friends_small_talk_pack_8_a1,friends_small_talk,casual,modal_verbs_suggestions,A1,15,subject; verb; object; modifier; time; location; polarity,substitution,high,"Practice casual friends conversations: making plans, suggestions, and small talk at A1 level","Practice casual friends conversations: making plans, suggestions, and small talk at A1 level Uses casual planning and suggestion phrases",1,18
de,context,friends_small_talk_pack_9_a1,friends_small_talk,casual,modal_verbs_suggestions,A1,15,subject; verb; object; modifier; time; location; polarity,substitution,high,"Practice casual friends conversations: making plans, suggestions, and small talk at A1 level","Practice casual friends conversations: making plans, suggestions, and small talk at A1 level Uses casual planning and suggestion phrases",1,19
de,context,anmeldung_address_registration_a1,government_office,formal,modal_verbs_requests,A1,15,subject; verb; object; modifier; time,roleplay-bounded,high,Practice formal government_office interactions at A1 level,Practice formal government_office interactions at A1 level Uses formal address (Sie/Ihnen) correctly,1,20
de,context,health_insurance_basic_a1,government_office,formal,modal_verbs_requests,A1,15,subject; verb; object; modifier; time,roleplay-bounded,high,Practice formal government_office interactions at A1 level,Practice formal government_office interactions at A1 level Uses formal address (Sie/Ihnen) correctly,2,1
de,context,passport_pickup_a1,government_office,formal,modal_verbs_requests,A1,15,subject; verb; object; modifier; time,roleplay-bounded,high,Practice formal government_office interactions at A1 level,Practice formal government_office interactions at A1 level Uses formal address (Sie/Ihnen) correctly,2,2
de,context,housing_pack_1_a1,housing,neutral,dative_case,A1,15,subject; verb; object; modifier; time,substitution,high,Practice housing rental and maintenance conversations at A1 level,Practice housing rental and maintenance conversations at A1 level Uses rental/maintenance vocabulary,2,3
